title,company,salary,category,publicated,description
Senior / Lead Technical Support Developer,ApomSolutions,,"Категорія: Python,Англійська: Advanced/Fluent,5 років досвіду","Вакансія опублікована                30 квітня 2023,1 перегляд,0 відгуків","As a Tier 3 Support Engineer, you will be responsible for resolving complex technical issues escalated from Tier 1 and Tier 2 support teams. You will work closely with customers, software developers, and other technical support engineers to provide timely and effective solutions to issues related to our products and services. You will also be responsible for troubleshooting, analyzing, and resolving software and platform issues, as well as identifying root causes and providing recommendations for long-term solutions.,Provide Tier 3 technical support for customers and internal teams,- Troubleshoot and resolve complex technical issues related to software and systems,- Work with Tier 1 and Tier 2 support teams to escalate issues as necessary,- Collaborate with software developers and other technical support engineers to resolve issues and provide solutions,- Analyze system logs and diagnostic data to identify and diagnose issues,- Reproduce Issues identified at the customer’s site in order to identify the root cause,- Develop and maintain technical documentation, including knowledge base articles and troubleshooting guides,- Stay up-to-date with the latest technologies, industry trends, and best practices related to Tier 3 technical support,- Bachelor's degree in Computer Science, Electrical Engineering, or a related field,- 4+ years of experience in Tier 3 technical support or a related field,- Strong analytical and problem-solving skills,- Excellent English written and verbal communication skills,- Experience with troubleshooting complex software and hardware issues,- Experience with Cloud environments (Azure, GCP, AWS), Database Platforms (such as Oracle, Snowflake, Postgres), BigData Platforms (such as Databricks, Hadoop, Spark), and Docker/Kubernetes.,- Familiarity with programming languages such as Java, Python,- Knowledge of operating systems, databases, and networking protocols,- Ability to work independently and in a team environment,- Demonstrated ability to learn quickly and adapt to changing technologies and customer requirements."
Middle Python Developer,AnyforSoft,,"Категорія: Python,Англійська: Intermediate,3 роки досвіду","Вакансія опублікована                28 квітня 2023,56 переглядів,15 відгуків","Are you a skilled and passionate Python developer looking for your next challenge? Do you want to work on an exciting and meaningful project that will transform the educational approach? If so, we have the perfect opportunity for you!,We are seeking a Middle Python Developer to join our team and help develop an educational platform for a US University. Our client is a company that specializes in helping students prepare for exams, and they are looking to digitalize their experience.,As part of our team, you will play a crucial role in building a useful and convenient platform that will simplify the exam preparation process.,- Middle Python developer;,- Good knowledge of debugging and configuration;,- Experience in Django, Django REST Framework;,- Experience in MySQL, MariaDB, MongoDB;,- Experience in Mako templates;,- Experience with Docker, Docker-Compose;,- Experience with Openedx is a plus;,- Experience in customization of Django Admin, and Django Templates is a plus;,- English: strong Intermediate or higher.,Also:,- Having experience in Open Edx, will not only be a huge plus but a significant advantage for this role. This expertise will enable you to contribute to the project's success and make a significant impact on the team's results.,- Backend development and implementation of required features;,- Collaborating with other developers, designers, and project managers to ensure that all projects are delivered on time and to a high standard;,- Communicating with stakeholders to gather requirements, provide updates on project progress, and troubleshoot issues as they arise;,- Staying up-to-date with the latest developments in Python and related technologies to ensure that you are able to deliver the best possible results for the project.,- Remote culture with the possibility to work from anywhere in the world;,- Communication with the professional team and participation in the team process;,- Career and proficiency development plans;,- Competitive compensation and benefits level;,- Flexible and open-minded management;,- Opportunity to work with the international market with a primary focus on Western Europe and the US;,- Good technical equipment, legal support, corporate entertainment, and other usual benefits;,- 50% cashback for personal development, health, recreation, power backup, and coworking.,If you are a passionate and dedicated Python developer with strong communication skills and a desire to learn and grow, we want you to join us. Apply today, let’s give this great project a chance together!"
"Senior Software Engineer (Backend), Voice Services",Data Science UA,,"Категорія: Python,Англійська: Upper-Intermediate,5 років досвіду","Вакансія опублікована                28 квітня 2023,9 переглядів,0 відгуків","We are,and we are developing a Data Science community in Ukraine. Data Science UA unites all researchers, engineers, and developers around Data Science and related areas. We conduct events on machine learning, computer vision, intelligence, information science, and the use of artificial intelligence for business in various fields. We are helping one of our clients to build an R&D team in Ukraine and hire the best talents for one of the top Sales platforms with AI assistance.,Making and receiving voice calls are a key components of the Outreach product offering. Outreach customers complete many calls with their prospects on our voice platform on a daily basis. The Voice Services team is hiring software engineers to increase the momentum in this space. If you have experience in building high availability voice communication systems with open source real-time communication software and commercial communications platform APIs, we’d love to talk to you about this opportunity. Real-time system development is a little different from other web development. The features we build are inherently heavy on state, complex in workflow, and include extensive third-party integrations. You’ll have to be creative, build on top of a lot of existing technology, and stay focused on Outreach’s core value proposition of revenue efficiency. You’ll be building systems to ensure calling is simple, reliable, and crystal clear; so that our customers can reduce the time on clicking around or performing repetitive actions and focus on what matters most - interacting with their prospects.,🔹 Working with commercial CPaaS APIs and open-source real-time communication software to manage calls, messages, and security.,🔹 Finding ways to engineer high availability into a system that has lots of moving parts, not all of which are directly under your control.,🔹 Working with stakeholders to make sure our customers have the tools they need to be successful on our platform.,🔹 Finding quick ways to prototype and test possible solutions to large problems.,🔹 Looking up and down the stack for the best return on investment for any given pain point.,🔹 Working on one of the most visible parts of Outreach’s product - to both our customers and the rest of our organization.,Basic Qualifications,🔹 6 + years of experience building back-end services and shipping production quality code in Java, Go or C++, along with strong software engineering skills.,🔹 Proven technical and project leadership skills and able to guide and mentor others.,🔹 Experience with cloud-based service applications and continuous-deployment projects.,🔹 Willing to go above and beyond to help other team members.,🔹 Ability to prioritize details along a path of iterative delivery.,🔹 Ability to quickly ramp up new technologies and start contributing.,🔹 Experience with diagnosing real-time media quality issues (plus).,🔹 Experience with VoIP, specifically using WebRTC and SIP to facilitate real-time communication between users and with phone numbers across the globe (plus).,- Own features end-to-end, from the customer need all the way to the back-end implementation.,- Are highly collaborative and distribute technical leadership throughout the team.,- Do Agile development, with Sprints and regular retrospectives.,- Function in a highly progressive, quick-iteration environment focused on delivering consistent, incremental customer value.,- Have something new to demo every week!,We’re currently shoring up the core functionalities of our telecom product. In the long term we want to give customers the same edge with calling and messaging that they have with email: the ability to optimize and constantly improve how they interact with customers. We will face new challenges as we continue to scale out to ten times the volume of calling we have today and beyond. These efforts present a diverse gamut of work that will help enhance Outreach’s competitive edge by making our customers more effectively."
Senior Python Developer (English and Russian speaker),SalesNash,,"Категорія: Python,Англійська: Upper-Intermediate,5 років досвіду","Вакансія опублікована                28 квітня 2023,40 переглядів,8 відгуків","We are seeking a talented Senior Full Stack Developer with expertise in Python and Flask to join our team. The ideal candidate will have experience building robust and scalable web applications, as well as a strong background in front-end development using Node, React, and TypeScript. Knowledge of Postgres and AWS is also desirable.,Responsibilities:,Develop and maintain web applications using Python and Flask,Design and implement scalable back-end solutions,Build and maintain RESTful APIs,Collaborate with front-end developers to build responsive and user-friendly interfaces using Node, React, and TypeScript,Develop and maintain databases using Postgres,Deploy and manage applications on AWS,Write clean, efficient, and well-documented code,Troubleshoot and debug issues as they arise,Keep up-to-date with the latest technologies and best practices in web development,Requirements:,Bachelor's degree in Computer Science, Software Engineering or related field,5+ years of experience in full-stack web development,Expertise in Python and Flask"
"Full Stack Developer (Python,React) Miami location",Global Teams,,"Категорія: Python,Англійська: Advanced/Fluent,5 років досвіду","Вакансія опублікована                28 квітня 2023,27 переглядів,5 відгуків","We're a startup company that's revolutionizing the world of medicine through computational simulation. We're looking for a talented Full Stack Developer to join our early-stage team and help us build cutting-edge software that will change the way medicines are developed and tested.,As a Full Stack Developer, you'll be responsible for developing both the backend and frontend of our applications using Python and React. We're looking for someone who is independent, creative, and excited about working in a startup environment.,Responsibilities:,Develop and maintain backend services and APIs using Python and related frameworks (Django, Flask, etc.),Design and implement responsive, user-friendly frontend interfaces using React and related libraries (Redux, etc.),Collaborate with other developers, designers, and product owners to deliver high-quality software,Write clean, efficient, and testable code,Ensure code quality by writing unit and integration tests,Identify opportunities to improve our software and processes, and take the initiative to implement those improvements,Experience with Google Cloud Platform (GCP) services such as Compute Engine, Cloud Storage, and Cloud SQL.,Experience with Continuous Integration/Continuous Deployment (CI/CD) tools such as Jenkins, TravisCI, or CircleCI.,Requirements:,Proven experience as a Full Stack Developer with a focus on Python backend development and React frontend development,Strong knowledge of Python and related frameworks (Django, Flask, etc.),Experience with frontend development using React and related libraries (Redux, etc.),Familiarity with RESTful APIs and microservices architecture,Good understanding of database systems (MySQL, PostgreSQL, MongoDB, etc.),Familiarity with agile methodologies and version control tools (Git, etc.),Excellent problem-solving and communication skills,A strong desire to work in a startup environment and contribute to building a successful company,Experience with Google Cloud Platform (GCP) services such as Compute Engine, Cloud Storage, and Cloud SQL.,Experience with Continuous Integration/Continuous Deployment (CI/CD) tools such as Jenkins, TravisCI, or CircleCI.,We offer a highly competitive salary, flexible work schedule, and the opportunity to work on groundbreaking software that will make a real difference in the world. If you're a self-motivated developer with a passion for innovation, we want to hear from you!"
Python/Django,Perlyna Devs,$600-3500,"Категорія: Python,Англійська: Upper-Intermediate,1 рік досвіду","Вакансія опублікована                28 квітня 2023,282 перегляди,91 відгук","Perlyna — це команда, яка закохана у свою роботу. У нашому колективі завжди панує дружня атмосфера. Ми дбайливому ставимося до кожного співробітника – ми працюємо над спільними інтересами. Ми заохочені до розвитку, тому слідкуємо за тенденціями на ринку праці та залучаємося до інноваційних проектів.,Компанія Perlyna Devs формує команду з досвідчених та талановитих розробників для досягнення поставленої мети стати найкращими в IT сфері.,Ми розуміємо, щоб здійснити задумане на потрібні Ви – люди-однодумці, які готові «засяяти» заявити про себе, підтверджуючи свої навики та вміння на практиці!,Ви отримаєте можливість працювати з новітніми проектами та розвиватися в web- та mob-розробці.,Основний виклик полягає в тому, щоб допомагати нашим клієнтам в створені якісного продукту та звісно зарекомендувати нашу Перлину на зовнішньому та внутрішньому ринку IT індустрії.,Ринок розробників — Україна, ринок роботодавців — увесь світ, але здебільшого — країни Скандинавії, Великобританія та Нідерланди.,Наша компанія пропонує наступне:,-	офіційне оформлення,-	гнучкий графік,-	без овертаймів,-	вихідні згідно святкового календаря України,-	досвід з англомовними спікерами,-	професійний розвиток,-	уроки англійської мова,-	Paid Leaves,-	проекти від міжнародних та українських партнерів,Звичайно, якщо Ви маєте свої пропозиції для покращення робочого процесу, готові до обговорення.,Отже, зараз є пріоритет в такому розробнику, який має:,- від 1 року досвіду комерційного в Python/Django розробці,- англійська не нижче рівня Upper-Intermediate,Ми віримо у перемогу України та хочемо розвиватися разом з найкращими розробниками підтримуючи нашу Україну.,Якщо Ви зацікавлені то давайте продовжемо спілкування!,Чекаємо можливо саме на Вас!"
Golang Software Engineer,Akvelon,,"Категорія: Python,Англійська: Upper-Intermediate,3 роки досвіду","Вакансія опублікована                28 квітня 2023,22 перегляди,5 відгуків","Akvelon is looking for an Experienced Engineer who has experience with Containers, OpenStack, SDN, and a networking background.,The client going to create a private cloud for customers (a model similar to EC2). The aim of this project is to develop a computation stack for edge-processing data that will allow customers to create their own private cloud and run workloads on virtual machines and Kubernetes. This computation stack will also create an AI model to process data at the edge.,🔻Develop and maintain software related to the deployment and management of bare metal servers in a cloud environment.,🔻Experience in building cloud services related to the provisioning and management of computing resources.,🔻Knowledge of docker containers and Kubernetes technologies.,🔻Support test and deployment of new products and features,🔻Bachelor’s degree in computer science (or related field).,🔻3+ years of relevant work experience.,🔻Expertise in any of these C/C++, Python, Golang.,,🔻 Paid vacation, sick leave (without sickness list);,🔻 Official state holidays — 11 days considered public holidays;,🔻 Professional growth while attending challenging projects and the possibility to switch your role, master new technologies and skills with company support;,🔻 Flexible working schedule: 8 hours per day, 40 hours per week.,🔻 Personal Career Development Plan (CDP);,🔻 Employee support program (Discount, Care, Heals, Legal compensation);,🔻 Paid external training, conferences, and professional certification that meets the company’s business goals;,🔻 Internal workshops & seminars;,🔻 Corporate library (Paper/E-books) and internal English classes.,Overlap till 10 am PST,We offer a competitive salary package and benefits, and the opportunity to work with cutting-edge technologies in a fast-paced, dynamic environment. If you are a self-motivated, detail-oriented individual with a passion for networking and SDN, we would love to hear from you."
Software and MLOps Engineer (Python)  (Warsaw),MoveUp Recruitment agency,,"Категорія: Python,Англійська: Upper-Intermediate,3 роки досвіду","Вакансія опублікована                28 квітня 2023,4 перегляди,0 відгуків","The first of start-ups kind to successfully save the bees, at scale, and by that secure the global food supply.,We do this by deploying Machine Learning, AI, precision robotics, and state-of-the-art and hardware designs.,Everybody wants to make an impact at work. But wouldn’t it be great to know that you weren’t just contributing to the success of your company—but the world as a whole?,The company is probably the coolest most impactful start-up you haven't (yet) heard of. The first of its kind to successfully save the bees, at scale, and by that secure the global food supply. We do this by deploying Machine Learning, AI, precision robotics, and state-of-the-art software and hardware designs.,We use React.js and React Native on the front, node.js and AWS on the back, and many new and cool stuff in between. We work in a fun, dedicated, and constantly improving environment.,Our company is probably the easiest to sell in terms of impact and ""do good"" - we are saving the world - for real.,Our product, is the only solution for a critical global issue - the extinction of the honey bee, which is responsible for most of our nutrition.,For example - most fruits and vegetables will not grow without bees' pollination. Same for coffee, cotton, and food for the animals we eat.,In terms of personal impact - we put a high emphasis on the ability of our employees to impact inside and outside of their team. The business is transparent to everyone, and everyone has a say and can make a change.,Technology,We have no legacy code. We strive to use the newest technologies and practices and are always looking for how to make things even better than accustomed. Each person has end-to-end responsibility for his tasks and direct communication with all the different interfaces involved.,The company is four years old and raised over $100M. We have raised one of the largest investment rounds in ag-tech history.,The company grew from 15 people to over 100 in the last year. The rapid growth only begins.,We have great plans for the Warsaw site (currently one person, and I visit often). The first people there will have an opportunity to become a part of the root team of something future to be very big.,At least 1 year of OOP Python.,At least 1 year as an MLOps or 2 years as a DevOps.,Experience in designing and implementing software infrastructure.,High level of written and spoken English. Advantages:,DVC TensorFlow’s data loaders,ML experiment systems,AWS Athena,We are looking for people who are passionate about what they do. Initiative people who strive for finding creative, simple solutions to complex problems.,You should be able to have end-to-end ownership of your responsibilities, and communicate with multiple interfaces across the company while being an extraordinary team player. And one more thing, you should be a lean-thinker.,The positions are in-office. We do not offer a hybrid format, but we d offer extreme flexibility.,People may choose to work from home when necessary, but not on a regular basis.,We have an unlimited vacation policy, we do not count hours, and each person can arrive and leave whenever suitable (within reason).,In the future, we are planning to add additional benefits.,The candidates will sign a B2B contract with our Polish partner who is doing the employment (payroll and legal) for us."
Senior Python Developer,Digis,,"Категорія: Python,Англійська: Intermediate,3 роки досвіду","Вакансія опублікована                29 квітня 2023,28 переглядів,1 відгук","Digis is seeking a talented and experienced Senior Python Developer to join our remote team and help us take our cutting-edge project in the blockchain industry to the next level.,Edgevana aims to be the market leader in “Blockchain Infrastructure and Ecosystem Services"". Meeting the speed, scale, security and resilience needs of the world’s fastest growing cryptocurrency operators, NFT providers and enterprises adopting decentralized ledger technologies.,Edgevana’s platform powers the next generation of the internet for protocols — with one-click-to-deploy features, analytics, node deployment and optimization, recommendations on increasing ROI, launching incentive programs, and everything in between.,• Project country and TimeZone: USA, work in Ukrainian time zone (meetings till 9pm are possible), flexible schedule,• Full-time job,• Methodology: Scrum,• Our team has about 10 active members: DevOps, Lead dev, Architect, PM, QA, Full Stack developers,• It is a innovation and fast-growing project,• 4+ years of active development,• List of high-profile clients, including Intel, Dell, AMD, and more.,• Opportunity to work with different technologies and to explore your skills,• Opportunity to train engineers in best development practices,• 5+ years of software engineering industrial experience,• 3+ years of Python,• 1+ year of Flask,• 0,5+ year of AWS,• Basic understanding of Golang,• Understanding of the blockchain concept (including smart contracts),• At least Intermediate level of spoken English,• Designing and building software applications,• Leading dev teams,• Documenting designs and implementations,• Training, mentoring and overseeing other developers,• Software debugging & profiling,If you’re ready to take your career to the next level and work on a project that’s changing the world, we encourage you to apply today. We can’t wait to hear from you!"
Senior Python Engineer,Svitla Systems,,"Категорія: Python,Англійська: Upper-Intermediate,5 років досвіду","Вакансія опублікована                28 квітня 2023,21 перегляд,2 відгуки","Svitla Systems Inc. is looking for a Senior Python Engineer for a full-time position (40 hours per week) in Ukraine. Our client is a software company headquartered in Tampa, Florida, with offices in California, Illinois, and Switzerland. They develop and maintain the leading catalog data syndication platform for in-store kiosks and tablets, enabling retailers to display an extended aisle of products, no matter the size of their showroom. Powerful integrations allow retailers to directly connect their POS software, eCommerce websites, and their sales & marketing automation platforms. The client supports thousands of retailers and brands around the globe seven days a week. The client improves the commerce experience by connecting brands, retailers, and consumers through beautiful, intelligent software.,- 5-7+ years of experience in a related technology role.,- Proficiency in Python, but the client is open to other experiences if you are willing to learn the languages they use.,- Knowledge of integration with various 3rd party services (like Shopify, Magento, etc.).,- Expertise in architecting, developing, and deploying platforms for running containerized services.,- Strong expertise in building/interacting with RESTful services.,- Understanding of processing large amounts of structured and unstructured data in streaming and batch.,- Experience running, using, and troubleshooting industry-standard messaging and data technologies like Spark, RabbitMQ, Active MQ, and PostgreSQL.,- BS Degree, preferably in Computer Science or Information Systems.,- Upper-intermediate or higher level of English.,- Experience with web-based frameworks: Django/Flask, FastAPI, etc.,- Experience with Infrastructure as Code using Terraform.,- Familiarity with Kubernetes.,- Experience with cloud infrastructure (AWS).,- Good knowledge of Docker and deployment life cycle (Storage, Docker Registry, Images).,The following are examples of the accountabilities for which the person in this position is responsible. This position is not intended to be complete or all-inclusive. It does not preclude management from assigning other or related functions for which the individual has demonstrated competency through performance.,- Design and implement solutions for assigned projects, independently and with teammates.,- Support current integrations, write and integrate software components.,- Drive performance tuning, automation, monitoring, and testability.,- Provide analysis, design changes, recommendation of upgrades, and maintenance of software.,- Help drive the underlying technology stack.,- Collaborate closely with Scrum and product development teams.,- Participate in requirements refining, estimate, and user story development.,- Create and drive better metrics and monitoring initiatives to gain valuable insights from the client’s cloud services.,- Embrace and institute best practices and coding standards within the team.,- Contribute to research technologies and fast prototyping.,- Compose detailed design specifications.,- Perform troubleshooting of all build and deployment issues.,- Actively participate in root cause analysis and design sessions.,- US and EU projects based on advanced technologies.,- Competitive compensation based on skills and experience.,- Annual performance appraisals.,- Flexibility in workspace, either remote or in one of our development offices.,- Comprehensive medical insurance including dental and massages.,- Sport reimbursement program for onsite and online activities.,- Support of a healthy lifestyle, compensation for running events.,- Bonuses for recommendations of new employees.,- Bonuses for article writing, public talks, other activities.,- Personal loan budget available for long-term personnel.,- 20 vacation days, 10 national holidays and sick leaves.,- Maternity leave policy and family days off.,- Full compensation for conferences, courses, English classes.,- Free webinars, meetups and conferences organized by Svitla.,- Gifts for birthdays, New Year, anniversaries, children and more.,- Fun corporate celebrations and activities, regular lectures on various topics.,- Awesome team, friendly and supportive community!"
